address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
11 Colvin Ave,trinbago-caribbean-restaurant-albany-3,['Trinidadian'],https://s3-media3.fl.yelpcdn.com/bphoto/6sE0oExdVklBMTvzvxRkkw/ls.jpg,Trinbago caribbean Restaurant,3.0,,4.0,https://www.yelp.com/biz/trinbago-caribbean-restaurant-albany-3?osq=restaurants
25 Chapel St,yonos-restaurant-albany-2,"['Indonesian', 'American New']",https://s3-media4.fl.yelpcdn.com/bphoto/slmjLcM2_Z-suWc5oLc5Ig/ls.jpg,Yonoâs Restaurant,136.0,$$$,4.0,https://www.yelp.com/biz/yonos-restaurant-albany-2?osq=restaurants
791 Madison Ave,moliendo-cafe-albany,['Colombian'],https://s3-media4.fl.yelpcdn.com/bphoto/hUf3UZMeVWNR1WItG_2Z6w/ls.jpg,Moliendo cafe,32.0,,4.5,https://www.yelp.com/biz/moliendo-cafe-albany?osq=restaurants
10 Wolf Rd,maharaja-indian-restaurant-albany,['Indian'],https://s3-media4.fl.yelpcdn.com/bphoto/kmBJmO5fcKm_zoZFhTjN7g/ls.jpg,Maharaja Indian Restaurant,168.0,$$,4.0,https://www.yelp.com/biz/maharaja-indian-restaurant-albany?osq=restaurants
301 Central Ave,fujiya-ramen-albany,['Ramen'],https://s3-media2.fl.yelpcdn.com/bphoto/-c8weYDrVEyMmr4DFyAoMg/ls.jpg,Fujiya Ramen,92.0,$$,4.0,https://www.yelp.com/biz/fujiya-ramen-albany?osq=restaurants
1647 Central Ave,brazilian-steakhouse-colonie,['Steakhouses'],https://s3-media3.fl.yelpcdn.com/bphoto/gUzOMTo4TLqqlywWdEs3og/ls.jpg,Brazilian Steakhouse,1.0,,5.0,https://www.yelp.com/biz/brazilian-steakhouse-colonie?osq=restaurants
900 Central Ave,northeast-chinese-restaurant-ii-albany,['Szechuan'],https://s3-media2.fl.yelpcdn.com/bphoto/MMEkZgUQIoFHx_bPttFSfg/ls.jpg,Northeast Chinese Restaurant II,71.0,$$,4.0,https://www.yelp.com/biz/northeast-chinese-restaurant-ii-albany?osq=restaurants
1553 Central Ave,delmonicos-italian-steakhouse-albany,"['Italian', 'Steakhouses']",https://s3-media2.fl.yelpcdn.com/bphoto/nvn-rMqc75F7XjqG255PNg/ls.jpg,Delmonicoâs Italian Steakhouse,229.0,$$,3.5,https://www.yelp.com/biz/delmonicos-italian-steakhouse-albany?osq=restaurants
77 N Lake Ave,oaxaquena-triqui-albany-2,"['Grocery', 'Tacos']",https://s3-media3.fl.yelpcdn.com/bphoto/ik74xq5Li6A9nL01vAEy4Q/ls.jpg,Oaxaquena Triqui,114.0,$,4.5,https://www.yelp.com/biz/oaxaquena-triqui-albany-2?osq=restaurants
274 Lark St,healthy-on-lark-albany,"['Vegetarian', 'Juice Bars & Smoothies']",https://s3-media4.fl.yelpcdn.com/bphoto/zWfu0F4YayZmFmOD5eKmgQ/ls.jpg,Healthy on Lark,65.0,$,4.5,https://www.yelp.com/biz/healthy-on-lark-albany?osq=restaurants
